Archivo,sis,dias,map,fc,sat,etco2,vt
s1_0001.tiff,90,55,,148,99,,
s1_0002.tiff,,54,,148,38,,
s1_0003.tiff,88,,,,98,,0
s1_0004.tiff,,54,,149,98,,
s1_0005.tiff,,55,,149,393,,0
s1_0006.tiff,90,55,,149,399,,
s1_0007.tiff,90,55,,149,99,,
s1_0008.tiff,88,5,,150,99,,0
s1_0009.tiff,88,5,,150,398,,0
s1_0010.tiff,88,5,,150,938,,40
s1_0011.tiff,8,55,,1491,98,,
s1_0012.tiff,8,55,,150,98,,
s1_0013.tiff,90,,,150,393,,
s1_0014.tiff,,55,,149,99,,
s1_0015.tiff,88,55,,149,99,,
s1_0016.tiff,83,,,149,399,,
s1_0017.tiff,83,55,,149,99,,
s1_0018.tiff,83,55,,149,99,,
s1_0019.tiff,90,,,148,99,,
s1_0020.tiff,,,,148,99,,
s1_0021.tiff,88,55,2,148,98,,
s1_0022.tiff,88,,,148,98,,
s1_0023.tiff,89,55,,148,98,,
s1_0024.tiff,90,55,,148,98,,
s1_0025.tiff,90,55,,149,97,,
s1_0026.tiff,,65,,149,96,,
s1_0027.tiff,8,65,,149,95,,
s1_0028.tiff,,55,,149,35,,
s1_0029.tiff,,55,,149,96,,
s1_0030.tiff,90,55,,149,35,,
s1_0031.tiff,90,65,,149,36,,
s1_0032.tiff,,,,149,37,,2
s1_0033.tiff,,53,,149,37,,
s1_0034.tiff,3,55,,149,38,,
s1_0035.tiff,90,55,,,38,,
s1_0036.tiff,90,55,,,,,
s1_0037.tiff,,65,,149,38,,
s1_0038.tiff,,55,,149,38,,
s1_0039.tiff,,55,,149,38,,
s1_0040.tiff,83,55,,148,38,,
s1_0041.tiff,90,5,,148,38,,
s1_0042.tiff,90,55,,148,38,,2
s1_0043.tiff,,55,,148,33,,
s1_0044.tiff,,65,,149,,,
s1_0045.tiff,,54,,148,38,,
s1_0046.tiff,,,,148,38,,
s1_0047.tiff,,55,,148,38,,
s1_0048.tiff,908,65,,148,39,,
s1_0049.tiff,90,55,,148,,,
s1_0050.tiff,908,55,,148,100,,
s1_0051.tiff,,5,,148,100,,
s1_0052.tiff,,5,,148,,,
s1_0053.tiff,,55,,148,,,
s1_0054.tiff,90,55,,148,90,,
s1_0055.tiff,908,55,,148,1,,
s1_0056.tiff,,5,,148,99,,
s1_0057.tiff,,55,,148,,,
s1_0058.tiff,,,,148,39,,
s1_0059.tiff,,5,,147,,,
s1_0060.tiff,,55,,148,99,,
s1_0061.tiff,,55,,148,,,
s1_0062.tiff,,55,,147,,,
s1_0063.tiff,,5,2,148,39,,
s1_0064.tiff,,,,148,38,,
s1_0065.tiff,90,55,,148,,,
s1_0066.tiff,90,55,,148,399,,
s1_0067.tiff,90,55,,148,,,
s1_0068.tiff,,55,,148,39,,
s1_0069.tiff,,55,,148,,,
s1_0070.tiff,,55,,148,99,,
s1_0071.tiff,908,55,,148,33,,
s1_0072.tiff,,55,,148,99,,
s1_0073.tiff,90,55,2,148,98,,
s1_0074.tiff,,55,,149,399,,
s1_0075.tiff,,55,,149,99,,
s1_0076.tiff,,55,,149,99,,
s1_0077.tiff,,55,,149,190,,
s1_0078.tiff,90,55,,149,100,,
s1_0079.tiff,,55,2,149,,,
s1_0080.tiff,,5,,149,100,,
s1_0081.tiff,,5,,148,100,,
s1_0082.tiff,,55,2,148,,,
s1_0083.tiff,90,5,,148,,,
s1_0084.tiff,,5,,148,39,,
s1_0085.tiff,,55,2,148,93,,
s1_0086.tiff,,55,,148,339,,
s1_0087.tiff,89,55,,148,39,,
s1_0088.tiff,,55,,148,00,,
s1_0089.tiff,90,5,,148,100,,
s1_0090.tiff,,5,2,148,100,,
s1_0091.tiff,,5,2,148,,,
s1_0092.tiff,87,55,,148,,,
s1_0093.tiff,,5,,148,00,,
s1_0094.tiff,,55,,148,,,
s1_0095.tiff,,55,,148,99,,
s1_0096.tiff,,,,147,99,,
s1_0097.tiff,90,55,,147,,7,
s1_0098.tiff,7,55,,148,393,,
s1_0099.tiff,,55,,148,39,7,
s1_0100.tiff,89,55,2,148,39,,
s1_0101.tiff,90,55,,148,,,
s1_0102.tiff,908,55,,148,,7,
s1_0103.tiff,90,55,,149,,7,
s1_0104.tiff,,5,,149,399,,
s1_0105.tiff,,5,2,149,39,,
s1_0106.tiff,,,2,149,100,7,
s1_0107.tiff,90,55,,149,100,,
s1_0108.tiff,,55,,149,393,7,
s1_0109.tiff,,35,,149,399,,
s1_0110.tiff,,5,,149,399,7,
s1_0111.tiff,,5,,148,39,7,
s1_0112.tiff,,54,,148,39,7,
s1_0113.tiff,,55,,148,100,7,
s1_0114.tiff,,5,,148,,,
s1_0115.tiff,90,55,,148,100,,
s1_0116.tiff,,55,,148,100,7,
s1_0117.tiff,,55,2,148,100,,
s1_0118.tiff,,55,,148,100,,2
s1_0119.tiff,,55,,148,100,7,
s1_0120.tiff,,5,,148,100,,
s1_0121.tiff,,55,2,148,1,,
s1_0122.tiff,,5,,148,,,
s1_0123.tiff,,55,7,148,00,,
s1_0124.tiff,,5,,148,100,7,
s1_0125.tiff,8,55,,148,39,7,
s1_0126.tiff,,55,,148,98,,
s1_0127.tiff,90,55,,148,98,,
s1_0128.tiff,,5,,148,38,,
s1_0129.tiff,,55,2,149,39,,
