Archivo,sis,dias, map,fc,sat,etco2,vt
s1_vs2_0001.tiff,73,48,,164,100,2,
s1_vs2_0002.tiff,3,48,,164,100,29,
s1_vs2_0003.tiff,73,,,1164,100,2,
s1_vs2_0004.tiff,74,,,1164,100,2,
s1_vs2_0005.tiff,74,,,1165,100,2,
s1_vs2_0006.tiff,74,,,1165,100,2,330
s1_vs2_0007.tiff,74,48,,1166,100,2,30
s1_vs2_0008.tiff,74,,8,1166,100,2,
s1_vs2_0009.tiff,74,48,,1166,100,2,32
s1_vs2_0010.tiff,74,,9,1166,100,2,
s1_vs2_0011.tiff,74,,9,167,100,2,32
s1_vs2_0012.tiff,74,49,,1167,100,2,
s1_vs2_0013.tiff,74,49,,1167,100,2,
s1_vs2_0014.tiff,74,49,,1167,100,2,
s1_vs2_0015.tiff,74,4,,1167,100,2,737
s1_vs2_0016.tiff,74,4,,168,100,2,37
s1_vs2_0017.tiff,74,49,,1168,100,2,37
s1_vs2_0018.tiff,74,49,,1168,100,2,37
s1_vs2_0019.tiff,74,43,,1169,100,2,
s1_vs2_0020.tiff,74,49,9,1168,100,2,
s1_vs2_0021.tiff,74,49,,1169,100,2,
s1_vs2_0022.tiff,74,49,9,1169,100,2,
s1_vs2_0023.tiff,74,49,9,1169,100,2,337
s1_vs2_0024.tiff,74,4,,1170,100,2,737
s1_vs2_0025.tiff,74,49,,1179,100,2,
s1_vs2_0026.tiff,74,4,9,1171,100,2,
s1_vs2_0027.tiff,74,43,9,1171,100,2,
s1_vs2_0028.tiff,75,49,,1171,100,2,
s1_vs2_0029.tiff,75,4,,1171,100,2,
s1_vs2_0030.tiff,74,49,7,1171,,2,
s1_vs2_0031.tiff,74,4,9,1172,100,2,
s1_vs2_0032.tiff,74,49,55,1172,100,2,
s1_vs2_0033.tiff,74,4,,1172,100,2,
s1_vs2_0034.tiff,74,49,9,1172,100,2,133
s1_vs2_0035.tiff,74,4,,1172,100,2,
s1_vs2_0036.tiff,74,49,,1173,100,2,
s1_vs2_0037.tiff,74,49,,1173,100,2,7
s1_vs2_0038.tiff,74,4,,1173,100,2,
s1_vs2_0039.tiff,74,4,,1173,100,2,337
s1_vs2_0040.tiff,75,4,9,1173,100,2,
s1_vs2_0041.tiff,75,4,,1173,100,2,7
s1_vs2_0042.tiff,75,49,,1173,100,2,
s1_vs2_0043.tiff,75,49,,1173,100,2,133
s1_vs2_0044.tiff,74,4,9,1173,100,2,
s1_vs2_0045.tiff,74,4,9,173,100,2,
s1_vs2_0046.tiff,74,4,9,173,100,2,133
s1_vs2_0047.tiff,74,4,,1174,100,2,
s1_vs2_0048.tiff,74,49,39,1174,100,2,
s1_vs2_0049.tiff,74,4,,1175,100,2,
s1_vs2_0050.tiff,75,4,9,1175,100,2,333
s1_vs2_0051.tiff,75,49,9,1175,100,2,
s1_vs2_0052.tiff,75,49,5,1175,100,2,
s1_vs2_0053.tiff,75,4,5,1175,100,2,
s1_vs2_0054.tiff,75,4,,1175,100,2,
s1_vs2_0055.tiff,75,4,9,1176,100,2,
s1_vs2_0056.tiff,75,49,9,1176,100,2,
s1_vs2_0057.tiff,75,4,,1176,100,2,37
s1_vs2_0058.tiff,74,4,9,1176,100,2,
s1_vs2_0059.tiff,74,49,9,1176,100,2,
s1_vs2_0060.tiff,75,45,39,1176,100,2,
s1_vs2_0061.tiff,75,4,9,1176,100,2,133
s1_vs2_0062.tiff,75,4,7,1177,100,2,
s1_vs2_0063.tiff,75,4,9,1176,100,2,
s1_vs2_0064.tiff,75,4,,1177,100,2,333
s1_vs2_0065.tiff,75,4,,1177,100,2,33
s1_vs2_0066.tiff,75,4,,1177,100,2,
s1_vs2_0067.tiff,75,4,,1177,100,2,
s1_vs2_0068.tiff,74,4,,1172,100,2,37
s1_vs2_0069.tiff,74,4,,1177,100,2,235
s1_vs2_0070.tiff,74,4,,1178,100,2,335
s1_vs2_0071.tiff,74,4,9,1178,100,2,
s1_vs2_0072.tiff,74,49,9,1178,100,2,
s1_vs2_0073.tiff,74,4,,178,100,2,333
s1_vs2_0074.tiff,75,4,,1179,100,2,35
s1_vs2_0075.tiff,75,49,,1179,100,2,335
s1_vs2_0076.tiff,75,4,,1179,100,2,
s1_vs2_0077.tiff,75,4,,1180,100,2,
s1_vs2_0078.tiff,75,4,,180,100,2,337
s1_vs2_0079.tiff,75,4,,180,100,2,7
