Archivo,Sys,dias,MAP,fc,sat,etco2,vt
s1vs4_0001.tiff,9,,,,,,
s1vs4_0002.tiff,90,58,,,4,,
s1vs4_0003.tiff,90,58,,,99,,
s1vs4_0004.tiff,,59,,,99,32,
s1vs4_0005.tiff,,59,2,,100,32,
s1vs4_0006.tiff,92,59,,,100,32,
s1vs4_0007.tiff,92,59,,,100,32,
s1vs4_0008.tiff,92,59,,,100,32,
s1vs4_0009.tiff,72,59,4,,100,32,
s1vs4_0010.tiff,93,60,7,,1,32,133
s1vs4_0011.tiff,93,60,,,100,32,3
s1vs4_0012.tiff,9,60,,,100,32,36
s1vs4_0013.tiff,93,60,3,,100,32,
s1vs4_0014.tiff,9,60,,,100,32,
s1vs4_0015.tiff,8,60,,,100,32,
s1vs4_0016.tiff,7,59,,,100,32,
s1vs4_0017.tiff,2,59,,,100,32,
s1vs4_0018.tiff,92,59,,,100,32,33
s1vs4_0019.tiff,92,59,,,100,32,33
s1vs4_0020.tiff,,59,,,99,32,
s1vs4_0021.tiff,,59,,,100,32,
s1vs4_0022.tiff,,58,,,100,31,
s1vs4_0023.tiff,,58,,,100,31,
s1vs4_0024.tiff,,58,,,100,32,
s1vs4_0025.tiff,7,58,,,100,32,
s1vs4_0026.tiff,90,58,,,100,32,31
s1vs4_0027.tiff,90,58,,,100,32,39
s1vs4_0028.tiff,,58,,,190,32,36
s1vs4_0029.tiff,,58,,,99,32,6
s1vs4_0030.tiff,,58,,,98,32,30
s1vs4_0031.tiff,,58,,,93,32,0
s1vs4_0032.tiff,,58,,,99,32,7
s1vs4_0033.tiff,,58,,,99,31,3
s1vs4_0034.tiff,,58,,,100,31,
s1vs4_0035.tiff,,58,,,100,32,
s1vs4_0036.tiff,,58,,,100,32,6
s1vs4_0037.tiff,,58,,,100,32,
s1vs4_0038.tiff,,57,,,100,32,1
s1vs4_0039.tiff,,57,,,100,32,
s1vs4_0040.tiff,,58,,,100,32,
s1vs4_0041.tiff,1,58,,,100,32,
s1vs4_0042.tiff,,58,,,100,32,
s1vs4_0043.tiff,,58,,,100,31,
s1vs4_0044.tiff,90,55,,,100,34,8
s1vs4_0045.tiff,90,55,,,100,31,
s1vs4_0046.tiff,1,57,,,100,32,
s1vs4_0047.tiff,,57,,,100,32,
s1vs4_0048.tiff,,56,,,100,32,
s1vs4_0049.tiff,8,56,,,100,32,
s1vs4_0050.tiff,95,50,,,100,32,
s1vs4_0051.tiff,95,50,,,100,32,
s1vs4_0052.tiff,94,53,,,100,32,
s1vs4_0053.tiff,94,53,,,100,32,
s1vs4_0054.tiff,92,56,,,100,32,
s1vs4_0055.tiff,92,56,,,100,32,
s1vs4_0056.tiff,,57,,,100,32,
s1vs4_0057.tiff,,57,,,100,32,7
s1vs4_0058.tiff,,57,,,100,32,
s1vs4_0059.tiff,91,57,,,100,32,
s1vs4_0060.tiff,91,57,,,100,32,
s1vs4_0061.tiff,1,57,,,100,32,
s1vs4_0062.tiff,91,58,,,100,32,6
s1vs4_0063.tiff,,58,,,100,32,6
s1vs4_0064.tiff,,58,,,100,32,6
s1vs4_0065.tiff,,58,,,100,32,
s1vs4_0066.tiff,,58,,,100,32,
s1vs4_0067.tiff,,58,,,100,32,
s1vs4_0068.tiff,92,57,,,100,32,
s1vs4_0069.tiff,92,57,,,100,32,8
s1vs4_0070.tiff,,58,,,100,32,8
s1vs4_0071.tiff,91,58,,,100,32,
s1vs4_0072.tiff,,58,,,100,32,
s1vs4_0073.tiff,,58,,,100,32,
s1vs4_0074.tiff,91,58,,,99,32,
s1vs4_0075.tiff,,58,,,698,32,0
s1vs4_0076.tiff,90,58,,,97,32,
s1vs4_0077.tiff,90,58,,,398,32,6
s1vs4_0078.tiff,90,58,,,99,32,6
s1vs4_0079.tiff,90,58,,,93,32,6
s1vs4_0080.tiff,90,58,,,939,32,
s1vs4_0081.tiff,90,58,,,99,32,
s1vs4_0082.tiff,90,57,,,939,32,
s1vs4_0083.tiff,,57,,,100,32,
s1vs4_0084.tiff,90,57,,,93,32,
s1vs4_0085.tiff,90,57,,,393,32,
s1vs4_0086.tiff,89,57,,,,32,
